ID_ESTACION,FECHA,PREC,TMAX,TMIN,TMED,VMAX,VDIR,VMED,DMED,RAD,HUM,ETO,EVA,ID_ESTACION,ID_ESTADO,NOMBRE,ACTIVO
"860143","17.06.2016","0.","37.700000000000003","10.4","23.739999999999998","11.9","178.69999999999999","4.4900000000000002","191.09999999999999","629.28999999999996","50.090000000000003","7.7000000000000002",,"860143","2","LLANO COLORADO","0"
"860143","18.06.2016","0.","41.600000000000001","12.6","27.41","14.1","222.40000000000001","4.4500000000000002","207.19999999999999","601.60000000000002","36.710000000000001","8.",,"860143","2","LLANO COLORADO","0"
"860143","19.06.2016","0.","44.","18.199999999999999","29.449999999999999","14.9","235.09999999999999","5.0999999999999996","203.19999999999999","605.73000000000002","25.48","5.7999999999999998",,"860143","2","LLANO COLORADO","0"
"860143","20.06.2016","0.","33.700000000000003","19.600000000000001","26.66","15.4","225.09999999999999","6.3799999999999999","192.90000000000001","581.34000000000003","39.619999999999997","7.",,"860143","2","LLANO COLORADO","0"
"860143","21.06.2016","0.","33.200000000000003","17.399999999999999","24.09","12.699999999999999","226.30000000000001","4.7800000000000002","202.19999999999999","430.76999999999998","61.649999999999999","5.0999999999999996","4.8700000000000001","860143","2","LLANO COLORADO","0"
"860143","22.06.2016","0.","29.399999999999999","18.800000000000001","24.079999999999998","13.1","222.5","5.5599999999999996","201.59999999999999","581.5","59.280000000000001","6.","6.0300000000000002","860143","2","LLANO COLORADO","0"
"860143","23.06.2016","0.","30.600000000000001","15.4","21.109999999999999","12.4","181.40000000000001","5.4199999999999999","203.90000000000001","576.99000000000001","72.599999999999994","5.7999999999999998","5.5","860143","2","LLANO COLORADO","0"
"860143","24.06.2016","0.","27.100000000000001","15.300000000000001","19.969999999999999","13.300000000000001","216.5","5.9100000000000001","210.5","596.58000000000004","74.170000000000002","5.5","5.7199999999999998","860143","2","LLANO COLORADO","0"
"860143","25.06.2016","0.","26.399999999999999","14.199999999999999","19.23","12.9","211.90000000000001","5.8799999999999999","203.30000000000001","546.87","76.950000000000003","5.0999999999999996","5.3399999999999999","860143","2","LLANO COLORADO","0"
"860143","26.06.2016","0.","29.899999999999999","12.800000000000001","21.48","14.300000000000001","215.80000000000001","4.8600000000000003","209.09999999999999","575.72000000000003","67.469999999999999","6.","5.9699999999999998","860143","2","LLANO COLORADO","0"
"860143","27.06.2016","0.","33.5","14.","24.050000000000001","12.4","235.90000000000001","5.0499999999999998","202.69999999999999","605.70000000000005","60.460000000000001","6.7000000000000002","6.5899999999999999","860143","2","LLANO COLORADO","0"
"860143","28.06.2016","0.","32.799999999999997","15.","22.210000000000001","13.9","207.30000000000001","5.2300000000000004","200.5","583.58000000000004","70.299999999999997","6.","5.9000000000000004","860143","2","LLANO COLORADO","0"
"860143","29.06.2016","0.","28.600000000000001","14.199999999999999","21.120000000000001","14.1","224.5","5.6699999999999999","195.90000000000001","581.60000000000002","73.879999999999995","5.5","5.6399999999999997","860143","2","LLANO COLORADO","0"
"860143","30.06.2016","0.","30.300000000000001","15.1","20.84","14.699999999999999","206.69999999999999","5.4000000000000004","204.80000000000001","577.00999999999999","74.829999999999998","5.2000000000000002","5.5599999999999996","860143","2","LLANO COLORADO","0"
"860143","01.03.2016","0.","30.","6.2000000000000002","17.","14.199999999999999","205.09999999999999","4.4500000000000002","179.69999999999999","521.77999999999997","66.439999999999998","4.7999999999999998","5.9199999999999999","860143","2","LLANO COLORADO","0"
"860143","02.03.2016","0.","30.5","5.2999999999999998","16.829999999999998","22.300000000000001","235.","5.9000000000000004","187.69999999999999","530.74000000000001","58.149999999999999","5.2999999999999998","6.5499999999999998","860143","2","LLANO COLORADO","0"
