ID_ESTACION,FECHA,PREC,TMAX,TMIN,TMED,VMAX,VDIR,VMED,DMED,RAD,HUM,ETO,EVA,ID_ESTACION,ID_ESTADO,NOMBRE,ACTIVO
"38216","16.04.2009","0.","38.700000000000003","21.899999999999999","28.969999999999999","4.2999999999999998","0.","1.0700000000000001","0.","505.82999999999998","73.549999999999997","4.7999999999999998","4.5899999999999999","38216","26","POBLADO C29","0"
"38216","17.04.2009","0.","37.899999999999999","21.100000000000001","28.699999999999999","6.2999999999999998","0.","1.3999999999999999","0.","501.06999999999999","66.530000000000001","5.","4.8499999999999996","38216","26","POBLADO C29","0"
"38216","18.04.2009","0.","37.","22.5","29.039999999999999","5.4000000000000004","0.","1.76","0.","520.13999999999999","57.340000000000003","4.9000000000000004","5.2699999999999996","38216","26","POBLADO C29","0"
"38216","19.04.2009","0.","36.700000000000003","20.","27.550000000000001","10.6","0.","2.3399999999999999","0.","462.75","70.680000000000007","4.5999999999999996","4.46","38216","26","POBLADO C29","0"
"38216","20.04.2009","0.","32.","21.699999999999999","26.02","21.699999999999999","0.","7.1600000000000001","0.","396.10000000000002","81.769999999999996","4.","3.8599999999999999","38216","26","POBLADO C29","0"
"38216","21.04.2009","0.","30.800000000000001","16.600000000000001","24.43","11.699999999999999","0.","4.75","0.","450.75","72.200000000000003","4.4000000000000004","4.4800000000000004","38216","26","POBLADO C29","0"
"38216","22.04.2009","0.","33.600000000000001","14.9","23.109999999999999","11.4","0.","2.9700000000000002","0.","561.77999999999997","73.170000000000002","5.5","5.1399999999999997","38216","26","POBLADO C29","0"
"38216","23.04.2009","0.","36.","19.","26.609999999999999","6.7000000000000002","0.","2.2200000000000002","0.","531.10000000000002","70.5","5.2000000000000002","5.1200000000000001","38216","26","POBLADO C29","0"
"38216","24.04.2009","0.","36.399999999999999","19.5","28.129999999999999","4.7999999999999998","0.","1.8200000000000001","0.","530.44000000000005","67.239999999999995","5.0999999999999996","5.1799999999999997","38216","26","POBLADO C29","0"
"38216","25.04.2009","0.","36.799999999999997","23.600000000000001","29.120000000000001","7.2000000000000002","0.","3.3700000000000001","0.","451.75","64.670000000000002","4.5","4.9800000000000004","38216","26","POBLADO C29","0"
"38216","26.04.2009","0.","36.899999999999999","20.199999999999999","28.34","7.7000000000000002","0.","3.0099999999999998","0.","513.45000000000005","67.280000000000001","5.4000000000000004","5.0700000000000003","38216","26","POBLADO C29","0"
