ID_ESTACION,FECHA,PREC,TMAX,TMIN,TMED,VMAX,VDIR,VMED,DMED,RAD,HUM,ETO,EVA,ID_ESTACION,ID_ESTADO,NOMBRE,ACTIVO
"998432","16.01.2017","0.","21.390000000000001","5.4000000000000004","12.6","10.","171.59","2.6600000000000001","170.80000000000001","1030.1900000000001","48.659999999999997",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","18.01.2017","0.","22.390000000000001","5.79","12.5","9.3000000000000007","273.69","2.8799999999999999","179.90000000000001","1029.9000000000001","67.730000000000004",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","19.01.2017","0.","20.890000000000001","7.2000000000000002","13.","9.3000000000000007","196.90000000000001","3.3100000000000001","183.80000000000001","1029.3199999999999","59.469999999999999",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","20.01.2017","0.","20.","7.79","13.16","13.19","199.30000000000001","5.1600000000000001","200.69999999999999","1029.1900000000001","55.590000000000003",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","13.03.2017","0.","19.190000000000001","6.5","12.06","10.1","190.30000000000001","2.1699999999999999","359.60000000000002","1027.2","78.810000000000002",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","14.03.2017","0.","21.","5.29","11.58","8.","77.590000000000003","1.5900000000000001","281.19999999999999","1026.75","62.469999999999999",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","07.03.2017","0.","21.5","8.4000000000000004","15.26","10.9","7.4000000000000004","3.25","2.3999999999999999","1033.7","44.130000000000003",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","21.01.2017","0.","23.","4.9000000000000004","12.77","13.1","202.80000000000001","3.73","175.","1030.2","40.299999999999997",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","22.01.2017","0.","20.800000000000001","4.9000000000000004","12.800000000000001","7.29","6.29","3.1000000000000001","85.200000000000003","1030.99","27.43",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","08.03.2017","0.","20.300000000000001","6.9000000000000004","12.470000000000001","12.300000000000001","126.2","2.71","323.89999999999998","1027.8099999999999","64.939999999999998",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","09.03.2017","0.","19.","6.79","11.99","12.6","296.38999999999999","2.8399999999999999","139.59999999999999","1026.8499999999999","76.75",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","23.01.2017","0.","21.890000000000001","6.79","13.73","5.79","203.59","1.74","200.5","1033.3599999999999","24.960000000000001",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","10.03.2017","0.","20.890000000000001","5.7000000000000002","12.539999999999999","10.300000000000001","279.69","2.79","168.59999999999999","1029.22","70.420000000000002",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
"998432","24.01.2017","0.","21.690000000000001","6.5","12.720000000000001","17.690000000000001","187.","4.0899999999999999","167.","1029.6700000000001","46.899999999999999",,,"998432","32","SANTA CECILIA TEPETLAPA","0"
